exp_id	project_name	config_name	category	date	duration	HWAT	RHOO	HOIL	USG	nom_usg	inclination	WC	H	DPDX_FRIC	TIN	PMID	nom_usw	INCL	USW	nom_temp	nom_press	RHOW	HGAS	RHOG	DPDX	USL	HLIQ	PIN	nom_uso	USO
7001	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T11:16:50.859857Z		0	810.561575485021	8.216460317813715	6.008163243572884	6	60	0	8.216460317813715	407.1876632923203	20.490576483011246	7.883571876585483	0	60	0	20.5	8	998	91.78353968218629	47.72542226252913	1344.7521318117426	0.25208954822116186	8.216460317813715	8.023522181093693	0.25	0.25208954822116186
7002	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:32.171186Z		0	810.6302526667714	12.985101827358278	3.9993135460284357	4	60	0	12.985101827358278	282.31018718979317	20.322631649076943	7.910027591913938	0	60	0	20.25	8	998	87.01489817264172	47.892770535410804	1529.9320189182945	0.24617525768182252	12.985101827358278	8.06249735340476	0.25	0.24617525768182252
7003	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:33.056233Z		0	811.0314076146484	19.491689882802305	2.5009411647113957	2.5	60	0	19.491689882802305	232.83721312905868	20.04101609349251	7.9272285301387315	0	60	0	20	8	998	80.5083101171977	48.00157679024556	1902.4814972134252	0.25172872037376665	19.491689882802305	8.10783570381999	0.25	0.25172872037376665
7004	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:34.049144Z		0	811.0561915422975	24.7577290108046	1.749828823960921	1.75	60	0	24.7577290108046	194.23205613285677	19.970877326130868	7.940702171891928	0	60	0	20	8.25	998	75.2422709891954	48.08680565851958	2205.3296256766002	0.2465104873214361	24.7577290108046	8.150380322307345	0.25	0.2465104873214361
7005	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:34.938757Z		0	811.0300282526016	35.95273979128664	1.000813665697282	1	60	0	35.95273979128664	141.76480236438283	20.199619623720643	7.971314473211765	0	60	0	20.25	8.25	998	64.04726020871337	48.28044683174834	2878.5682834343424	0.24998007509822837	35.95273979128664	8.227494392484427	0.25	0.24998007509822837
7006	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:35.863687Z		2.253213703528195	810.9822859217226	9.039186478299895	6.001338878201522	6	60	19.953363919515542	11.292400181828068	296.40749350743704	20.237098426818847	7.879403873413802	0	60	0.04988759370680275	20.25	8	998	88.70759981817193	47.699057141666344	1468.961252636016	0.25002096843434907	11.292400181828068	8.02903887528181	0.25	0.20013337472754633
7007	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:36.781590Z		3.1421504377952454	811.0880686853825	12.834655694360317	4.00592202731494	4	60	19.666949775845605	15.97680613215549	236.1018482107695	20.17563894242048	7.913928363502026	0	60	0.04989455144159097	20.25	8	998	84.02319386784451	47.91744525616841	1727.7881601566678	0.25369745695323864	15.97680613215549	8.081992548882962	0.25	0.2038029055116477
7008	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:37.719467Z		4.463768595460614	811.2168762402237	17.7451511577025	2.4998852414081267	2.5	60	20.098990158334246	22.20891975316313	233.80242781712604	20.024749678373333	7.934827177494765	0	60	0.049913485961765945	20	8.25	998	77.79108024683687	48.049642793960885	2150.965162522687	0.24833827753813204	22.20891975316313	8.138785171747209	0.25	0.19842479157636608
7009	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:38.677880Z		5.848489084284118	811.2353906714916	22.674980552526918	1.751432868193977	1.75	60	20.504129261807364	28.523469636811082	142.3684582939136	19.98565324306488	7.952132968753577	0	60	0.050670873594110086	20	8.25	998	71.47653036318891	48.15911230714762	2491.0729081322056	0.24712521535110354	28.523469636811082	8.187670445084573	0.25	0.19645434175699344
7010	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:39.812191Z		8.346819752907995	811.2087781903149	32.548899669499974	0.9987878530612022	1	60	20.41000835978585	40.89571942240786	196.84001558585396	20.02510787367821	7.993117321550846	0	60	0.05043477615715221	20	8.25	998	59.10428057759214	48.41836292920203	3387.528271899595	0.2471080622216923	40.89571942240786	8.285524690210819	0.25	0.19667328606454007
7011	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:40.733257Z		4.8738038917755135	810.9691662958264	7.16869414791945	5.9917052678388085	6	60	40.47170176578222	12.042498039694962	355.0146373721775	20.2093107303977	7.877529753446579	0	60	0.1002742792006023	20.25	8	998	87.95750196030504	47.68720220840168	1617.9141920235468	0.2477639309088347	12.042498039694962	8.040237523138524	0.25	0.1474896517082324
7012	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:41.712971Z		6.846775815397254	811.028130300045	10.086519244337177	3.995967014530501	4	60	40.43380683584826	16.933295059734476	317.5684963277945	20.14848795861006	7.918281416326761	0	60	0.10014396404588624	20.25	8	998	83.06670494026552	47.94498092711656	1930.5463830084984	0.24767384493982267	16.933295059734476	8.103362013489008	0.25	0.14752988089393643
7013	Multiflow (IFE)	MF_C3b_60	0	2024-10-11T13:04:42.665755Z		9.454918234183818	811.1597175303101	14.43764200907357	2.5010809344372658	2.5	60	39.5726457856356	23.892560243257428	284.0294753925714	20.041655864715572	7.950826856702565	0	60	0.09922466827129273	20	8.25	998	76.10743975674256	48.150850364757744	2390.5521597569436	0.2507405464087269	23.892560243257428	8.17121416848898	0.25	0.15151587813743417
